Source,Target
424694,369192
424694,10139
424694,152532
424694,1420
424694,397538
504172,4836
504172,436
504172,769
504172,2034
504172,253
332562,525
332562,25196
332562,254470
458737,332562
332562,6477
450465,155
450465,1927
450465,49026
450465,1924
450465,272
405774,131631
405774,198663
405774,294254
405774,185
405774,262500
446807,281957
446807,336843
446807,101299
446807,562
446807,769
369972,3558
369972,10734
369972,769
369972,424
369972,157336
429197,769
429197,640
429197,424
429197,389015
429197,396371
505954,423
505954,424
505954,369885
505954,228150
505954,1771
449176,375262
424694,375262
375262,26280
375262,10139
375262,184352
487558,451915
451915,769
451915,424
451915,334543
467952,451915
489999,300668
489999,338970
489999,284276
489999,2275
489999,590
407436,278927
407436,34584
407436,10140
407436,116149
407436,281957
484247,336843
484247,346364
484247,101299
484247,454983
484247,769
399360,281957
399360,290512
399360,309050
399360,75174
399360,44115
426426,141
426426,1949
426426,13
426426,112160
426426,171274
398173,10781
398173,1696
398173,12521
398173,5486
398173,984
446021,77
446021,2832
446021,13
446021,1368
446021,1369
487558,424
487558,769
487558,334543
487558,467952
458594,74997
458594,10781
458594,45569
458594,956
458594,754
337167,281957
392044,337167
341174,337167
337167,867
337167,11027
470044,392044
470044,281957
470044,133805
470044,101299
470044,336843
447332,381283
447332,405774
447332,110415
447332,19908
447332,311291
520360,500
520360,949
520360,1844
520360,75656
520360,339403
446101,4421
446101,10035
446101,342737
446101,336804
446101,20815
157336,568
157336,126889
157336,75612
157336,348
157336,2048
438808,261023
438808,2034
438808,754
438808,4982
438808,429203
466411,2323
466411,8966
466411,336843
466411,262500
466411,294254
361292,10139
361292,342473
361292,71
361292,10560
361292,19542
346364,210577
210577,75780
392044,210577
336843,210577
210577,65754
315635,49521
315635,1452
315635,1924
315635,8536
315635,9531
433249,3035
433249,281957
433249,8358
433249,290512
433249,1927
272,155
49026,155
414,155
209112,155
40662,155
474354,336843
474354,1645
474354,8055
474354,390051
474354,7984
553882,38050
553882,2502
553882,51876
553882,376290
553882,2503
400535,4771
400535,1266
400535,10651
400535,562
400535,1701
455207,11931
455207,9880
